date,Unemployment Rate,US Corporate Bond Index,US High Yield Bond Index,NASDAQ100 index,S&P 500 Index,Wilshire Microcap Index,Federal Funds Effective Rate,Consumer Price Index: Total All Items for the United States,CBOE VIX
2000-01-01,4.0,,,,,,3.99,2.73889227023737,
2000-01-02,,,,,,,3.99,,
2000-01-03,,991.58,363.62,3790.55,,3615.83,5.43,,24.21
2000-01-04,,995.74,363.04,3546.2,,3493.0,5.38,,27.01
2000-01-05,,990.59,362.31,3507.31,,3529.07,5.41,,26.41
2000-01-06,,993.67,362.42,3340.81,,3529.57,5.54,,25.73
2000-01-07,,995.12,362.46,3529.6,,3595.96,5.61,,21.72
2000-01-08,,,,,,,5.61,,
2000-01-09,,,,,,,5.61,,
2000-01-10,,994.26,362.73,3717.41,,3681.23,5.74,,21.71
2000-01-11,,990.24,362.4,3544.35,,3635.12,5.63,,22.5
2000-01-12,,989.47,362.29,3478.14,,3610.71,5.59,,22.84
2000-01-13,,993.14,362.35,3612.08,,3674.28,5.58,,21.71
2000-01-14,,989.88,362.33,3704.74,,3726.98,5.56,,19.66
2000-01-15,,,,,,,5.56,,
2000-01-16,,,,,,,5.56,,
2000-01-17,,990.41,362.59,,,,5.56,,
2000-01-18,,988.1,362.16,3757.78,,3818.14,5.83,,21.5
2000-01-19,,989.79,362.24,3790.89,,3861.84,5.47,,21.72
2000-01-20,,988.35,362.07,3841.74,,3896.46,5.44,,21.75
2000-01-21,,989.08,362.59,3849.96,,3964.18,5.36,,20.82
2000-01-22,,,,,,,5.36,,
2000-01-23,,,,,,,5.36,,
2000-01-24,,994.15,362.94,3660.96,,3951.96,5.53,,24.07
2000-01-25,,994.45,363.15,3759.11,,3960.03,5.46,,23.02
2000-01-26,,995.55,362.96,3621.21,,3965.91,5.52,,23.03
2000-01-27,,996.83,363.04,3593.15,,3942.85,5.61,,23.54
2000-01-28,,998.72,363.07,3446.13,,3833.07,5.58,,26.14
2000-01-29,,,,,,,5.58,,
2000-01-30,,,,,,,5.58,,
2000-01-31,,994.63,362.96,3570.05,,3768.92,5.87,,24.95
2000-02-01,4.1,996.98,363.0,3701.78,,3808.84,5.79,3.22188449848025,23.45
2000-02-02,,999.88,363.0,3724.46,,3855.78,5.64,,23.12
2000-02-03,,1007.18,363.28,3851.16,,3926.91,5.71,,22.01
2000-02-04,,1003.76,363.45,3874.37,,3979.78,5.7,,21.54
2000-02-05,,,,,,,5.7,,
2000-02-06,,,,,,,5.7,,
2000-02-07,,997.9,363.25,3933.34,,4053.93,5.76,,22.79
2000-02-08,,1001.93,363.76,4062.77,,4123.09,5.67,,21.25
2000-02-09,,998.15,363.86,3968.46,,4129.17,5.76,,22.9
2000-02-10,,994.41,363.69,4090.0,,4201.54,5.79,,23.07
2000-02-11,,996.67,363.73,3968.89,,4204.82,5.71,,24.42
2000-02-12,,,,,,,5.71,,
2000-02-13,,,,,,,5.71,,
2000-02-14,,1001.59,364.1,3986.13,,4249.5,5.79,,24.38
2000-02-15,,999.91,364.2,3997.03,,4247.68,5.85,,22.92
2000-02-16,,999.6,364.11,3997.97,,4308.92,5.67,,23.51
